#1qrpa_omega(Re) 2qrpa_omega(Im) 3SFomega(Re) 4SFomega(Im) 5-13Sumrule
             (0,0.5)(-6.008890521,1.618516126e-11)                   0                   0                   0                   0                   0                   0                   0                   0                   0
           (0.1,0.5)(-5.958796971,-0.2304979537)         73.36977742         7.336977742        0.7336977742       0.07336977742      0.007336977742     0.0007336977742     7.336977742e-05     7.336977742e-06     7.336977742e-07
           (0.2,0.5)(-5.823863873,-0.4098653915)          81.5237903         8.967780319          1.05985829        0.1386018805       0.02038339835      0.003342981897     0.0005952266019     0.0001117083426     2.160797075e-05
           (0.3,0.5)(-5.646380872,-0.5050762267)         83.50861445         9.563227564         1.238492463        0.1921921326       0.03646047398      0.008166104584      0.002042163408     0.0005457893845     0.0001518322833
           (0.4,0.5)(-5.477443436,-0.5166461491)         84.15101124         9.820186278         1.341275949        0.2333055268       0.05290583167       0.01474424766      0.004673420639      0.001598292277     0.0005728334402
           (0.5,0.5)(-5.350512287,-0.4731261516)         84.39197241         9.940666863         1.401516241        0.2634256731       0.06796590482       0.02227428423      0.008438438925       0.00348080142      0.001514088012
           (0.6,0.5)(-5.272165688,-0.4078387754)         84.49214148          10.0007683         1.437577106        0.2850621921       0.08094781623       0.03006343108       0.01311192704      0.006284894286      0.003196543731
           (0.7,0.5)(-5.232838655,-0.3428172522)         84.53759009         10.03258233         1.459846927        0.3006510665       0.09186002829       0.03770197952       0.01845891094       0.01002778302      0.005816565846
           (0.8,0.5)(-5.219647962,-0.2876491053)         84.55994399         10.05046545          1.47415342        0.3120962607        0.1010161837       0.04502690384        0.0243188504       0.01471573458      0.009566927097
           (0.9,0.5)(-5.222348952,-0.2444315736)          84.5718027         10.06113829         1.483758974        0.3207412592        0.1087966823       0.05202935261       0.03062105429       0.02038771809       0.01467171225
             (1,0.5)(-5.234253643,-0.2120738063)         84.57855322         10.06788881         1.490509492        0.3274917781        0.1155472012       0.05877987153       0.03737157321       0.02713823701       0.02142223117
           (1.1,0.5)(-5.251402452,-0.1885946402)         84.58265345         10.07239907         1.495470777        0.3329491907        0.1215503551       0.06538334076       0.04463538936       0.03512843477       0.03021144871
           (1.2,0.5)(-5.271582754,-0.1720630534)         84.58529472         10.07556859         1.499274205         0.337513305        0.1270272922       0.07195566527       0.05252217878       0.04459258208       0.04156842548
           (1.3,0.5)(-5.293615066,-0.1608848309)         84.58708777         10.07789955         1.502304456        0.3414526305        0.1321484154       0.07861312546       0.06117687703        0.0558436898       0.05619486551
           (1.4,0.5)(-5.31690807,-0.1538305528)         84.58836239         10.07968402          1.50480271        0.3449501866         0.137044994       0.08546833547       0.07077417103        0.0692799014       0.07500556176
           (1.5,0.5)(-5.341198833,-0.1499813215)         84.58930541         10.08109855         1.506924512        0.3481328891        0.1418190477       0.09262941607       0.08151579194       0.08539233276        0.0991742088
           (1.6,0.5)(-5.36640563,-0.1486604293)         84.59002746         10.08225383         1.508772952        0.3510903944        0.1465510561        0.1002006296       0.09362973353        0.1047746393        0.1301858993
           (1.7,0.5)(-5.39254579,-0.1493732739)         84.59059674         10.08322161         1.510418177        0.3538872762        0.1513057551        0.1082836178        0.1073708136        0.1281344754        0.1698976206
           (1.8,0.5)(-5.419690299,-0.1517603401)         84.59105691         10.08404991         1.511909128        0.3565709882        0.1561364368        0.1169788448        0.1230222222        0.1563070108        0.2206081844
           (1.9,0.5)(-5.447939021,-0.155562221)         84.59143687         10.08477184          1.51328079        0.3591771457        0.1610881361        0.1263870735        0.1408978566        0.1902707162        0.2851392247
             (2,0.5)(-5.477407467,-0.1605942151)         84.59175636         10.08541082         1.514558758         0.361733082        0.1662000087        0.1366108187        0.1613453471        0.2311656973        0.3669291868
           (2.1,0.5)(-5.508220082,-0.1667281029)         84.59202925         10.08598389         1.515762187        0.3642602822        0.1715071291        0.1477557715        0.1847497478        0.2803149388         0.470142594
           (2.2,0.5)(-5.540507177,-0.1738791695)         84.59226552         10.08650368         1.516905729        0.3667760758        0.1770418749        0.1599322124        0.2115379178        0.3392489128        0.5997973368
           (2.3,0.5)(-5.574403955,-0.1819970354)         84.59247253         10.08697981         1.518000842        0.3692948347        0.1828350205        0.1732564472        0.2421836579        0.4097341149        0.7619133015
           (2.4,0.5)(-5.61005072,-0.1910592589)         84.59265584         10.08741974         1.519056676        0.3718288368        0.1889166256        0.1878522994        0.2772137032        0.4938062237        0.9636863627
           (2.5,0.5)(-5.647593786,-0.2010669827)         84.59281968         10.08782936         1.520080702        0.3743889012        0.1953167864        0.2038527015        0.3172147084        0.5938087368         1.213692645
           (2.6,0.5)(-5.687186819,-0.2120421234)         84.59296738         10.08821337          1.52107915        0.3769848667        0.2020662968        0.2214014286        0.3628413988        0.7124381318         1.522129073
           (2.7,0.5)(-5.728992457,-0.2240257637)         84.59310156         10.08857566         1.522057334        0.3796259636        0.2091972584        0.2406550247        0.4148261084        0.8527968477         1.901097605
           (2.8,0.5)(-5.77318415,-0.2370775285)         84.59322434         10.08891943         1.523019887        0.3823211107        0.2167436705        0.2617849786        0.4739899794         1.018455686         2.364942354
           (2.9,0.5)(-5.8199482,-0.2512758168)         84.59333742         10.08924738          1.52397094        0.3850791651        0.2247420281        0.2849802158        0.5412561673         1.213527631         2.930650994
             (3,0.5)(-5.869485975,-0.2667188335)         84.59344224         10.08956182         1.524914265        0.3879091398        0.2332319523        0.3104499883        0.6176654847         1.442755584         3.618334851
           (3.1,0.5)(-5.92201633,-0.2835264279)         84.59353996         10.08986477         1.525853383        0.3908204064        0.2422568788        0.3384272604        0.7043950284         1.711617169         4.451805765
           (3.2,0.5)(-5.977778202,-0.3018428051)         84.59363159         10.09015798          1.52679166        0.3938228924        0.2518648337        0.3691727161        0.8027804865         2.026450635         5.459272856
           (3.3,0.5)(-6.037033384,-0.3218402382)         84.59371797         10.09044304         1.527732385        0.3969272842        0.2621093266        0.4029795429        0.9143430148         2.394606978          6.67418879
           (3.4,0.5)(-6.100069382,-0.3437239738)         84.59379985         10.09072142         1.528678844        0.4001452471        0.2730504005        0.4401791941         1.040821829         2.824634947         8.136283883
           (3.5,0.5)(-6.16720219,-0.3677385874)         84.59387785         10.09099443         1.529634394        0.4034896707        0.2847558833        0.4811483839         1.184213993         3.326507521         9.892837894
           (3.6,0.5)(-6.238778613,-0.3941760951)         84.59395255         10.09126336         1.530602528        0.4069749526        0.2973028981        0.5263176372         1.346823305         3.911901044         12.00025457
           (3.7,0.5)(-6.315177461,-0.4233860857)         84.59402446         10.09152942         1.531586954        0.4106173304        0.3107796958        0.5761817886         1.531320665         4.594541276         14.52602344
           (3.8,0.5)(-6.396808356,-0.4557878621)         84.59409404         10.09179382         1.532591676         0.414435272        0.3252878741        0.6313128659         1.740818759         5.390634033         17.55117591
           (3.9,0.5)(-6.484106112,-0.4918836465)         84.59416172         10.09205777         1.533621074         0.418449924        0.3409450168        0.6923757226           1.9789639         6.319400085         21.17336351
             (4,0.5)(-6.577517924,-0.5322694663)          84.5942279         10.09232249          1.53467999        0.4226855898        0.3578876801        0.7601463759         2.250046514         7.403730537         25.51068532
           (4.1,0.5)(-6.677481633,-0.577634932)         84.59429297         10.09258927         1.535773785        0.4271701486        0.3762743711        0.8355318088         2.559126788         8.670959664         30.70632474
           (4.2,0.5)(-6.784401671,-0.6287340983)         84.59435729          10.0928594         1.536908322        0.4319352029         0.396287599        0.9195873661         2.912160129         10.15369969         36.93383287
           (4.3,0.5)(-6.898656689,-0.6863048345)         84.59442119         10.09313417         1.538089812        0.4370156125        0.4181333604          1.01352414         3.316088257         11.89059064         44.40246395
           (4.4,0.5)(-7.020724553,-0.7509501218)         84.59448496         10.09341478         1.539324496        0.4424482227        0.4420368452         1.118699473         3.778859722         13.92678509         53.36171952
           (4.5,0.5)(-7.151515161,-0.8231319914)         84.59454886         10.09370231         1.540618378        0.4482706904        0.4682379502         1.236604446         4.309432099         16.31436079         64.10581016
           (4.6,0.5)(-7.292760441,-0.9035676648)         84.59461309         10.09399779         1.541977615          0.45452318        0.4969994023         1.368907125         4.918024425         19.11388549         76.98362377
           (4.7,0.5)(-7.446929752,-0.9939913)         84.59467793         10.09430254         1.543409925        0.4612550366         0.528639128         1.517613836         5.616945967         22.39881673         92.42280063
           (4.8,0.5)(-7.616503539,-1.097557389)         84.59474374         10.09461844         1.544926259        0.4685334401        0.5635754648         1.685308253         6.421879166         26.26249609         110.9684615
           (4.9,0.5)(-7.803390885,-1.218507219)         84.59481103         10.09494812         1.546541681        0.4764490093        0.6023617542         1.875361071         7.353137974         30.82566425         133.3279855
             (5,0.5)(-8.009017884,-1.361780034)         84.59488038         10.09529489         1.548275554        0.4851183703        0.6457085589         2.092095095         8.436808093         36.24401484         160.4197385
           (5.1,0.5)(-8.234659662,-1.533141685)         84.59495252         10.09566279         1.550151809        0.4946872753        0.6945099744         2.340982314         9.706132911         42.71757141          193.434877
           (5.2,0.5)(-8.481543094,-1.739722268)         84.59502826         10.09605663         1.552199778        0.5053367137        0.7498870542         2.628943128         11.20352915         50.50403184         233.9244712
           (5.3,0.5)(-8.750621692,-1.990738656)         84.59510856         10.09648226         1.554455641        0.5172927853        0.8132542337          2.96478918         12.98351322         59.93794742         283.9242238
           (5.4,0.5)(-9.042015701,-2.298357554)          84.5951946         10.09694687         1.556964523         0.530840747        0.8864132268         3.359847742         15.11682946         71.45785512         346.1317253
           (5.5,0.5)(-9.35398541,-2.678748642)         84.59528778         10.09745937         1.559783274        0.5463438774        0.9716804443         3.828817439         17.69616279         85.64418844         424.1565586
           (5.6,0.5)(-9.681106756,-3.153343598)         84.59538985         10.09803092         1.562983977        0.5642678139         1.072054489         4.390912086         20.84389281         103.2714766         522.8693722
           (5.7,0.5)(-10.01104636,-3.750138454)         84.59550293          10.0986755         1.566658049         0.585210027         1.191425103         5.071324589         24.72224408         125.3780788         648.8770047
           (5.8,0.5)(-10.31896601,-4.504395124)         84.59562963         10.09941036         1.570920218        0.6099306045         1.334804453         5.902924818         29.54552541         153.3531105         811.1321887
           (5.9,0.5)(-10.55826302,-5.45692327)         84.59577298         10.10025611         1.575910142        0.6393711575         1.508503715         6.927750467         35.59199674         189.0272913         1021.609856
             (6,0.5)(-10.64682704,-6.645598326)          84.5959362         10.10123544         1.581786141        0.6746271516          1.72003968         8.196966255         43.20729146         234.7190597         1295.760466
           (6.1,0.5)(-10.45173814,-8.081589662)         84.59612199         10.10236877          1.58869947        0.7167984612         1.977284669         9.766160685         52.77937749         293.1087844         1651.937787
           (6.2,0.5)(-9.787659142,-9.699457506)         84.59633094         10.10366423         1.596731295        0.7665957711          2.28602799         11.68036928         64.64747077         366.6909628         2108.147292
           (6.3,0.5)(-8.467360514,-11.28616269)         84.59655899         10.10510096         1.605782686        0.8236195356         2.645277706         13.94364249           78.906092         456.5202765         2674.071969
           (6.4,0.5)(-6.444986611,-12.4551709)          84.5967953         10.10661333         1.615461895        0.8855664736         3.041738109         16.48098907         95.14511011         560.4499924         3339.222151
           (6.5,0.5)(-3.984785264,-12.79330383)         84.59702343         10.10809617         1.625100321        0.9482162441         3.448961618         19.12794188         112.3503033         672.2837485         4066.141565
           (6.6,0.5)(-1.617993512,-12.16081604)         84.59722743         10.10944259         1.633986703         1.006866365         3.836052415         21.68274114         129.2119785         783.5708043         4800.636133
           (6.7,0.5)(0.1847801013,-10.81669198)         84.59739829         10.11058736         1.641656696          1.05825532         4.180358414         23.98959133         144.6678748         887.1253095         5494.451319
           (6.8,0.5)(1.270961478,-9.195208643)         84.59753518         10.11151822         1.647986553         1.101298347         4.473050996         25.97990089         158.2019797         979.1572234         6120.268333
           (6.9,0.5)(1.753162205,-7.631891815)         84.59764236         10.11225772         1.653089066         1.136505689         4.715981657         27.65612245         169.7679085         1058.962132         6670.922203
             (7,0.5)(1.828851389,-6.284511299)         84.59772567         10.11284093         1.657171561         1.165083147         4.916023865          29.0564179         179.5699767         1127.576609         7151.223543
           (7.1,0.5)(1.668267107,-5.186366326)         84.59779064         10.11330218          1.66044645         1.188334861         5.081111032         30.22853679         187.8920208         1186.663122         7570.737787
           (7.2,0.5)(1.386410021,-4.313630034)         84.59784173         10.11367006         1.663095121         1.207405293         5.218418141         31.21714797         195.0100213         1237.912726         7939.734933
           (7.3,0.5)(1.052055713,-3.625867591)         84.59788237         10.11396674         1.665260911          1.22321556         5.333833091         32.05967711          201.160484         1282.811104          8267.49309
           (7.4,0.5)(0.7033756862,-3.083628576)          84.5979151         10.11420896         1.667053368         1.236479742         5.431988037         32.78602371         206.5354489         1322.585844         8561.826165
           (7.5,0.5)(0.360247146,-2.654024393)          84.5979418         10.11440921         1.668555238         1.247743771         5.516468257         33.41962536         211.2874613         1358.225937         8829.126862
           (7.6,0.5)(0.03217034755,-2.311340816)         84.59796386         10.11457681         1.669828996         1.257424332         5.590040521         33.97877456         215.5369952         1390.522394         9074.579941
           (7.7,0.5)(-0.2770484282,-2.036018821)         84.59798229         10.11471877         1.670922073         1.265841019         5.654849012         34.47779995         219.3794907          1420.10961         9302.401498
           (7.8,0.5)(-0.566632602,-1.813332242)         84.59799789          10.1148404         1.671870793          1.27324104          5.71256917         34.92801718         222.8911851         1447.500826         9516.052986
           (7.9,0.5)(-0.837349427,-1.63220662)         84.59801123         10.11494578         1.672703268          1.27981759         5.764523921         35.33845971          226.133681         1473.116544          9718.41716
             (8,0.5)(-1.090694673,-1.48427851)         84.59802276         10.11503806         1.673441488         1.285723347         5.811769973         35.71642813         229.1574284         1497.306523          9911.93699
           (8.1,0.5)(-1.328461748,-1.363179368)         84.59803284          10.1151197          1.67410284         1.291080303          5.85516132         36.06789804         232.0043347         1520.366464         10098.72251
           (8.2,0.5)(-1.55254091,-1.264010152)         84.59804174         10.11519268         1.674701215         1.295986973         5.895396013         36.39782252         234.7097154         1542.550586         10280.63231
